salino t0,salino t20,naloxona 5mg/kg,morfina 10mg/kg t0,morfina 10mg/kg t 20,Morf naloxona 5mg/kg
48,20,5,66,96,12
75,21,15,48,120,2
60,34,4,53,34,1
90,53,6,79,120,7
53,16,12,41,120,7
72,14,9,82,120,4
44,22,2,70,97,8
67,17,8,41,120,5
80,11,6,91,120,6
76,13,5,60,120,5
