id|alimento|calorias|carbohidratos|proteinas|lipidos
550|platija|85.9|0|17.2|1.9
551|rape|65.5|0|14.87|0.67
552|raya|96.8|0.8|20.56|1.26
553|rodaballo|82.3|0|16.68|1.73
554|anguila|281|0|15|24.5
555|angula|205|0|16.3|15.5
556|arenque|233|0|18.18|17.8
557|atun|226|0|21.5|15.5
558|besugo|88.7|0|18.12|1.8
559|boqueron|142|0.5|21.5|6
560|bonito|153|0|24.7|6
561|caballa|182|0|18.68|11.9
562|carpa|114|0|18|4.7
563|congrio|123|1.4|19|4.6
564|jurel|117|0.8|19.75|3.85
565|sargo|104|1|15|4.4
566|pescaditos|79.8|1.8|11.4|3
567|pez espada|117|0|19.35|4.4
568|salmon|191|0|20.62|12.1
569|salmonete|109|0|18.7|3.8
570|sardina|157|0|18|9.4
571|trucha|135|0|18.75|6.7
572|palometa|125|0|20|5
573|merluza congelada|81.2|0|15.8|2
574|pescadilla congelada|54.6|0|11.8|0.82
575|anchoa en aceite|253|0.37|28.62|15.2
576|atun al natural|99.4|0|23.5|0.6
577|atun en aceite|208|0|24.8|12.1
578|atun en escabeche|99.4|0|23.5|0.6
579|bonito en aceite|203|0|24.9|11.5
580|bonito en aceite de soja|207|0|32.2|8.7
581|caballa en aceite|217|0.6|22.5|13.8
582|sardina con salsa de tomate|173|1.9|13.75|12.3
583|sardina en aceite|218|0|23.93|13.6
584|sardina en escabeche|131|0.8|15|7.5
585|salmon ahumado|140|0|25.4|4.3
586|almeja|76.6|1.5|15.4|1
587|berberecho|82.6|1.5|16.9|1
588|bogavante|83.5|0.7|15.9|1.9
589|calamar|80.4|0.7|16.25|1.4
590|cangrejo y similares|124|0|19.5|5.1
591|centollo|127|0|20.1|5.2
592|cigala|85.4|0.5|17.7|1.4
593|quisquilla|81.8|1.5|17.6|0.6
594|gamba roja|94.2|1.5|18|1.8
595|langosta|83.9|1.3|17.2|1.1
596|langostino|110|1.5|24.3|0.8
597|mejillon|72|3.4|10.18|1.96
598|ostra|66|4.8|9|1.2
599|percebe|66.4|0|15.7|0.4
600|pulpo|89.8|1.4|17.9|1.4
601|sepia|75.3|0.7|16.1|0.9
602|vieira|81.7|2.8|15.6|0.9
603|bacalao salado|322|0|75|2.42
604|almeja en conserva|79.3|1.5|17.43|0.4
605|calamar en salsa americana|195|1.5|13.12|15.2
606|mejillon en conserva al natural|82.1|2|12|2.9
607|mejillon en escabeche|77.7|2|11.81|2.5
608|anca de rana|68.3|0|16.4|0.3
609|caracol|85.8|2|16.3|1.4
610|carne de ballena|132|2.22|23.2|3.38
611|caviar|252|1.9|26.1|15.5
612|huevas frescas|119|1.5|24.3|1.8
613|palito de cangrejo|82.9|6.1|12.6|0.9
614|huevo de gallina|162|0.68|12.68|12.1
615|yema de huevo|353|0.3|16.12|31.9
616|clara de huevo|49.1|0.7|11.12|0.2
617|huevo de codorniz|155|0.41|13.05|11.2
618|huevo de pato|184|0.7|13|14.4
619|azucar blanco|399|99.8|0|0
620|azucar moreno|390|97.6|0|0
621|miel|302|75.1|0.38|0
622|cacao en polvo azucarado|391|81.02|5.88|4
623|cacao en polvo bajo en calorias|358|63.36|16.1|3
624|chocolate puro|509|47|5.3|30
625|chocolate blanco|547|58.8|8|30.9
626|chocolate con leche|538|54.1|9.19|31.5
627|chocolate con leche y almendra|558|51.5|8.7|34.9
628|chocolate en polvo a la taza|397|77.4|5.5|6
629|crema de cacao y avellanas|548|56|6.2|33
630|barrita de chocolate con galleta|501|63|6.5|24.5
631|bombon|476|66|4.8|21.2
632|mazapan|503|58.7|8|24.9
633|turron de alicante|516|46|13|29.3
634|turron de jijona|533|46|13.2|31.1
635|milhoja con nata y crema|281|33|4.5|14.3
636|pasta de te|446|73|6.9|13.8
637|pastel de chocolate|443|41.8|5.2|27.9
638|pastel relleno de crema|370|63.5|3.1|11.4
639|tarta de crema pastelera y manzana|297|37.4|3.5|14.3
640|tarta de frutas|393|57.9|5.1|14.8
641|pudin de pasas|301|47.2|4.6|9.7
642|caramelo|382|95|0.4|0
643|chicle|390|96.7|0|0.3
644|regaliz|323|71.5|3.9|1.9
645|polo de hielo|134|29.5|1|1.3
646|cacahuete con cascara|563|7.91|25.23|46
647|almendra con cascara|610|5.36|18.71|54.1
648|avellana con cascara|661|10.5|12.01|61.6
649|nuez con cascara|649|4.4|14.42|62.5
650|piñon con cascara|706|3.9|14|68.6
651|mantequilla|897|0|0.25|99.5
652|aceite de oliva virgen|899|0|0|99.9
653|aceite de oliva|899|0|0|99.9
654|aceite de girasol|899|0|0|99.9
655|aceite de higado de bacalao|899|0|0|99.9
656|aceite de maiz|899|0|0|99.9
657|aceite de palma|899|0|0|99.9
658|aceite de soja|900|0|0|99.99
659|aceite de cacahuete|900|0|0|100
660|col|30.2|4.18|1.38|0.2
661|patata vieja|78.69|16.1|2.22|0.21
662|aceite de coco|900|0|0|100
663|margarina|722|0.4|0.2|80
664|pan blanco sin sal|265|53.9|8|1.1
665|pan blanco tipo baguette|258|50.6|9.65|1.1
666|pan blanco tostado|262|46|6.84|4.4
667|pan blanco tostado sin sal|279|49.1|9|4
668|margarina ligera|368|0.4|1.62|40
669|margarina salada|732|0.9|0.9|80.5
670|margarina de maiz|727|0.9|0.9|80
671|margarina con esteroles|396|3.2|0.1|42.5
672|mantequilla salada|734|0.06|0.89|81.11
673|manteca de cerdo|891|0|0|99
